Statement,Header,Field Name,Field Value,,,,,,,,,,,,,
Statement,Data,Title,Activity Statement,,,,,,,,,,,,,
Statement,Data,Period,"April 1, 2024 - March 31, 2025",,,,,,,,,,,,,
Statement,Data,WhenGenerated,"2026-08-12, 06:47:57 EDT",,,,,,,,,,,,,
Account Information,Header,Field Name,Field Value,,,,,,,,,,,,,
Account Information,Data,Name,Ray G Stephanos,,,,,,,,,,,,,
Account Information,Data,Account,U15124027,,,,,,,,,,,,,
Account Information,Data,Investment Advisor,Financial Hospital Advisory LLP,,,,,,,,,,,,,
Account Information,Data,Account Type,Advisor Client,,,,,,,,,,,,,
Account Information,Data,Customer Type,Individual,,,,,,,,,,,,,
Account Information,Data,Account Capabilities,Cash,,,,,,,,,,,,,
Account Information,Data,Base Currency,USD,,,,,,,,,,,,,
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change,,,,,,,,,
Net Asset Value,Data,Cash,0,20383.16177,0,20383.16177,20383.16177,,,,,,,,,
Net Asset Value,Data,Stock,0,45992.40321,0,45992.40321,45992.40321,,,,,,,,,
Net Asset Value,Data,Interest Accruals,0,15.7,0,15.7,15.7,,,,,,,,,
Net Asset Value,Data,Dividend Accruals,0,92.1029176,0,92.1029176,92.1029176,,,,,,,,,
Net Asset Value,Data,Total,0,66483.3679,0,66483.3679,66483.3679,,,,,,,,,
Net Asset Value,Header,Time Weighted Rate of Return,,,,,,,,,,,,,,
Net Asset Value,Data,-1.68%,,,,,,,,,,,,,,
Change in NAV,Header,Field Name,Field Value,,,,,,,,,,,,,
Change in NAV,Data,Starting Value,0,,,,,,,,,,,,,
Change in NAV,Data,Mark-to-Market,-3179.424984,,,,,,,,,,,,,
Change in NAV,Data,Deposits & Withdrawals,69730.01,,,,,,,,,,,,,
Change in NAV,Data,Dividends,255.829774,,,,,,,,,,,,,
Change in NAV,Data,Withholding Tax,-40.45,,,,,,,,,,,,,
Change in NAV,Data,Change in Dividend Accruals,92.1271715,,,,,,,,,,,,,
Change in NAV,Data,Interest,106.93,,,,,,,,,,,,,
Change in NAV,Data,Change in Interest Accruals,15.7,,,,,,,,,,,,,
Change in NAV,Data,Advisor Fees,-454.74,,,,,,,,,,,,,
Change in NAV,Data,Other Fees,-0.33,,,,,,,,,,,,,
Change in NAV,Data,Commissions,-42.25981156,,,,,,,,,,,,,
Change in NAV,Data,Other FX Translations,-0.0242539,,,,,,,,,,,,,
Change in NAV,Data,Ending Value,66483.3679,,,,,,,,,,,,,
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code,,,
Mark-to-Market Performance Summary,Data,Stocks,4568.T,0,100,--,"3,511.00",-127.53749,-12.05532,-1.99314624,0,-141.5859562,,,,
Mark-to-Market Performance Summary,Data,Stocks,AIQ,0,36,--,36.38,-132.48,-3.6,-1.002592,0.29,-136.792592,,,,
Mark-to-Market Performance Summary,Data,Stocks,AMD,0,1.2,--,102.74,-19.342,0.898,-1.0000552,0,-19.4440552,,,,
Mark-to-Market Performance Summary,Data,Stocks,AMZN,0,6,--,190.26,89.16,8.4,-1.000312,0,96.559688,,,,
Mark-to-Market Performance Summary,Data,Stocks,ASML,0,6,--,662.63,-349.68,-2.25,-1.000432,16.38,-336.550432,,,,
Mark-to-Market Performance Summary,Data,Stocks,AVGO,0,9,--,167.43,239.49,26.28,-1.000468,11.54,276.309532,,,,
Mark-to-Market Performance Summary,Data,Stocks,BLBD,0,0,--,--,-583.2,55.5,-2.07431078,0,-529.7743108,,,,
Mark-to-Market Performance Summary,Data,Stocks,BTI,0,33,--,41.37,200.64,2.805,-1.002376,24.1,226.542624,,,,
Mark-to-Market Performance Summary,Data,Stocks,BX,0,12,--,139.78,-145.68,15.78,-1.000864,22.09,-108.810864,,,,
Mark-to-Market Performance Summary,Data,Stocks,CAT,0,3,--,329.8,-12.72,-1.38,-1.000156,6.34,-8.760156,,,,
Mark-to-Market Performance Summary,Data,Stocks,DXJ,0,6,--,110.18,51.9,-0.72,-1.000312,13.59,63.769688,,,,
Mark-to-Market Performance Summary,Data,Stocks,EMXC,0,9,--,55.09,-36.09,0.9,-1.000468,6.75,-29.440468,,,,
Mark-to-Market Performance Summary,Data,Stocks,GD,0,6,--,272.58,60.06,-14.1,-1.000276,0,44.959724,,,,
Mark-to-Market Performance Summary,Data,Stocks,GE,0,3,--,200.15,104.4,4.05,-1.000156,1.26,108.709844,,,,
Mark-to-Market Performance Summary,Data,Stocks,HYU,0,24,--,47.6,-246.71472,0,-3.2397,0,-249.95442,,,,
Mark-to-Market Performance Summary,Data,Stocks,IGPT,0,33,--,40.49,-242.22,-8.58,-1.002376,0,-251.802376,,,,
Mark-to-Market Performance Summary,Data,Stocks,LLY,0,6,--,825.91,118.62,0.84,-1.000288,12.6,131.059712,,,,
Mark-to-Market Performance Summary,Data,Stocks,LRCX,0,10,--,72.7,727,0,0,1.72,728.72,,,,
Mark-to-Market Performance Summary,Data,Stocks,LRCX,0,0,--,--,-734.31,-1.89,-1.000052,1.72,-735.480052,,,,
Mark-to-Market Performance Summary,Data,Stocks,MCHI,0,27,--,54.4,-70.2,12.825,-1.001944,18.05,-40.326944,,,,
Mark-to-Market Performance Summary,Data,Stocks,MSFT,0,6,--,375.39,-185.76,-15.9,-1.000288,7.46,-195.200288,,,,
Mark-to-Market Performance Summary,Data,Stocks,NFLX,0,2.4,--,932.53,16.75,-4.504,-1.0001728,0,11.2458272,,,,
Mark-to-Market Performance Summary,Data,Stocks,NOVd,0,30,--,63.02,-267.52347,41.5296,-3.2445,0,-229.23837,,,,
Mark-to-Market Performance Summary,Data,Stocks,NVDA,0,4.2,--,108.38,-68.33,20.456,-1.0001932,0,-48.8741932,,,,
Mark-to-Market Performance Summary,Data,Stocks,R6C0d,0,42,--,33.925,172.693374,-14.57946,-3.306,0,154.807914,,,,
Mark-to-Market Performance Summary,Data,Stocks,RIO,0,9,--,60.08,0.63,0.09,-1.000468,0,-0.280468,,,,
Mark-to-Market Performance Summary,Data,Stocks,SAUS,0,6,--,44.67,-14.977509,-1.2857982,-3.3105,0,-19.5738072,,,,
Mark-to-Market Performance Summary,Data,Stocks,SHELL.DRS,0,0,--,--,-0.396664,0,0,15.022464,14.6258,,,,
Mark-to-Market Performance Summary,Data,Stocks,SHELL.DVR,0,0,--,--,0.20413,0,0,14.19731,14.40144,,,,
Mark-to-Market Performance Summary,Data,Stocks,TGT,0,6,--,104.36,-277.38,-11.46,-1.000312,10.08,-279.760312,,,,
Mark-to-Market Performance Summary,Data,Stocks,TIP,0,60,--,111.09,102,-6.9,-1.00432,26.35,120.44568,,,,
Mark-to-Market Performance Summary,Data,Stocks,TSLA,0,0,--,--,-1670.7,374.203,-2.07125534,0,-1298.568255,,,,
Mark-to-Market Performance Summary,Data,Stocks,TSM,0,6,--,166,19.32,8.88,-1.000312,5.84,33.039688,,,,
